0
chilli green bullet,chilli,bullet,green,,2025-01-03,kg,100.0,90.0,95.0
chilli green,chilli,,green,,2025-01-03,kg,70.0,60.0,65.0
chilli dry,chilli,dry,,,2025-01-03,kg,400.0,380.0,390.0
ginger,ginger,,,,2025-01-03,kg,130.0,110.0,120.0
amla,amla,,,,2025-01-03,kg,60.0,50.0,55.0
avocado,avocado,,,,2025-01-03,kg,250.0,200.0,226.67
kiwi,kiwi,,,,2025-01-03,kg,250.0,200.0,226.67
mombin,mombin,,,,2025-01-03,kg,50.0,40.0,45.0
lettuce,lettuce,,,,2025-01-03,kg,100.0,90.0,95.0
red cabbage,cabbage,,red,,2025-01-03,kg,70.0,60.0,65.0
drumstick,drumstick,,,,2025-01-03,kg,250.0,240.0,245.0
french bean local,bean,french,,local,2025-01-03,kg,70.0,60.0,65.0
green peas,peas,,green,,2025-01-03,kg,70.0,60.0,65.0
cow_pea short,cow_pea,short,,,2025-01-03,kg,70.0,60.0,65.0
brinjal round,brinjal,round,,,2025-01-03,kg,60.0,50.0,55.0
brinjal long,brinjal,long,,,2025-01-03,kg,50.0,40.0,45.0
raddish white hybrid,raddish,,white,hybrid,2025-01-03,kg,45.0,35.0,40.0
raddish white local,raddish,,white,local,2025-01-03,kg,35.0,30.0,32.67
raddish red,raddish,,red,,2025-01-03,kg,35.0,30.0,32.67
cauli terai,cauli,,,terai,2025-01-03,kg,25.0,20.0,22.67
cauli local,cauli,,,local,2025-01-03,kg,30.0,20.0,25.0
french bean hybrid,bean,french,,hybrid,2025-01-03,kg,70.0,60.0,65.0
cabbage,cabbage,,,,2025-01-03,kg,25.0,20.0,22.33
cabbage local,cabbage,,,local,2025-01-03,kg,30.0,20.0,25.0
carrot terai,carrot,,,terai,2025-01-03,kg,100.0,90.0,95.0
carrot local,carrot,,,local,2025-01-03,kg,120.0,100.0,110.0
onion dry indian,onion,dry,,indian,2025-01-03,kg,72.0,70.0,71.0
potato red indian,potato,,red,indian,2025-01-03,kg,45.0,40.0,42.67
potato red,potato,,red,,2025-01-03,kg,55.0,50.0,52.67
tomato small terai,tomato,small,,terai,2025-01-03,kg,45.0,35.0,40.0
tomato small indian,tomato,small,,indian,2025-01-03,kg,45.0,35.0,40.0
tomato small local,tomato,small,,local,2025-01-03,kg,35.0,25.0,30.0
tomato big indian,tomato,big,,indian,2025-01-03,kg,90.0,80.0,85.0
cabbage terai,cabbage,,,terai,2025-01-03,kg,20.0,15.0,17.67
french bean_rajma,bean_rajma,french,,,2025-01-03,kg,60.0,50.0,55.0
cauli local jyapu,cauli,jyapu,,local,2025-01-03,kg,40.0,30.0,35.0
bitter_gourd,bitter_gourd,,,,2025-01-03,kg,100.0,90.0,95.0
sword_bean,sword_bean,,,,2025-01-03,kg,50.0,40.0,45.0
brocauli,brocauli,,,,2025-01-03,kg,50.0,40.0,45.0
mushroom button,mushroom,button,,,2025-01-03,kg,400.0,350.0,376.67
mushroom kanya,mushroom,kanya,,,2025-01-03,kg,100.0,70.0,85.0
yam,yam,,,,2025-01-03,kg,80.0,70.0,75.0
bakula,bakula,,,,2025-01-03,kg,90.0,80.0,85.0
onion green,onion,,green,,2025-01-03,kg,70.0,60.0,65.0
fenugreek_leaf,fenugreek_leaf,,,,2025-01-03,kg,80.0,70.0,75.0
mustard_leaf,mustard_leaf,,,,2025-01-03,kg,40.0,30.0,35.0
cress_leaf,cress_leaf,,,,2025-01-03,kg,80.0,70.0,75.0
spinach_leaf,spinach_leaf,,,,2025-01-03,kg,80.0,70.0,75.0
brd_leaf_mustard,brd_leaf_mustard,,,,2025-01-03,kg,25.0,15.0,20.0
sugarbeet,sugarbeet,,,,2025-01-03,kg,80.0,70.0,75.0
arum,arum,,,,2025-01-03,kg,90.0,80.0,85.0
barela,barela,,,,2025-01-03,kg,50.0,40.0,45.0
sweet_potato,sweet_potato,,,,2025-01-03,kg,80.0,70.0,75.0
okara,okara,,,,2025-01-03,kg,110.0,100.0,105.0
turnip,turnip,,,,2025-01-03,kg,100.0,90.0,95.0
squash round,squash,round,,,2025-01-03,kg,20.0,15.0,17.67
squash long,squash,long,,,2025-01-03,kg,20.0,15.0,17.67
pumpkin,pumpkin,,,,2025-01-03,kg,60.0,50.0,55.0
pointed_gourd terai,pointed_gourd,,,terai,2025-01-03,kg,100.0,90.0,95.0
bottle_gourd,bottle_gourd,,,,2025-01-03,kg,60.0,50.0,55.0
christophine,christophine,,,,2025-01-03,kg,40.0,30.0,35.0
papaya indian,papaya,,,indian,2025-01-04,kg,100.0,90.0,95.0
grapes green,grapes,,green,,2025-01-04,kg,250.0,200.0,226.67
grapes black,grapes,,black,,2025-01-04,kg,380.0,350.0,363.33
